symbol,name,trading_name ,sectoer,date,open,high,low,close,change,perc_Change,volume_traded ,value_traded,no_trades 
1202,Middle East Paper Co.,MEPCO,Materials,2020-04-02,11.96,12.16,11.9,11.96,0.08,0.67,653838.0,7848396.14,722.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-04-01,11.6,11.96,11.6,11.88,0.3,2.59,407310.0,4801713.42,379.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-31,11.36,11.68,11.34,11.58,0.28,2.48,257225.0,2968292.42,319.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-30,11.46,11.48,11.0,11.3,0.0,0.0,214062.0,2418973.5,299.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-29,11.02,11.36,11.02,11.3,0.04,0.36,100607.0,1129576.3,187.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-26,11.2,11.38,11.1,11.26,0.26,2.36,153467.0,1725911.44,245.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-25,11.8,11.82,11.0,11.0,-0.26,-2.31,439431.0,5049101.62,527.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-24,10.92,11.26,10.92,11.26,0.48,4.45,224202.0,2489436.82,354.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-23,10.68,10.78,10.68,10.78,0.04,0.37,152351.0,1629097.02,238.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-22,10.9,10.92,10.7,10.74,-0.18,-1.65,90928.0,981586.22,206.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-19,10.5,11.02,10.5,10.92,0.04,0.37,407370.0,4426456.2,543.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-18,10.6,10.9,10.6,10.88,0.0,0.0,542246.0,5862222.94,580.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-17,10.98,11.1,10.64,10.88,-0.1,-0.91,547568.0,6004975.58,544.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-16,11.02,11.24,10.9,10.98,-0.32,-2.83,275179.0,3039778.26,362.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-15,11.62,11.62,11.3,11.3,0.0,0.0,318833.0,3667329.72,317.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-12,11.0,11.4,11.0,11.3,-0.2,-1.74,236534.0,2649333.22,379.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-11,11.88,11.88,11.42,11.5,-0.3,-2.54,793325.0,9212391.56,720.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-10,11.2,11.82,11.2,11.8,0.82,7.47,1093768.0,12659856.34,943.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-09,10.98,11.2,10.98,10.98,-1.22,-10.0,780123.0,8584426.74,651.0
1202,Middle East Paper Co.,MEPCO,Materials,2020-03-08,12.3,12.7,12.2,12.2,-1.34,-9.9,584995.0,7224537.74,682.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-23,20.2,20.2,20.0,20.14,0.14,0.7,62133.0,1245881.98,151.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-22,19.5,20.02,19.5,20.0,0.22,1.11,48996.0,973713.1,108.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-21,19.5,19.9,19.46,19.78,-0.22,-1.1,75247.0,1484451.44,171.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-20,20.32,20.32,19.9,20.0,-0.3,-1.48,89839.0,1796655.36,163.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-19,20.0,20.56,20.0,20.3,0.54,2.73,163417.0,3324206.82,324.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-16,19.64,19.9,19.64,19.76,-0.2,-1.0,18542.0,366434.44,93.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-15,20.0,20.08,19.9,19.96,0.0,0.0,35966.0,718273.92,112.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-14,19.96,19.96,19.9,19.96,0.08,0.4,20648.0,411277.6,134.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-13,20.0,20.0,19.88,19.88,-0.06,-0.3,30392.0,605027.5,129.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-12,20.02,20.02,19.94,19.94,-0.2,-0.99,48325.0,966101.46,120.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-09,20.6,20.6,20.0,20.14,-0.36,-1.76,175783.0,3571359.2,258.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-08,20.2,20.5,20.18,20.5,0.32,1.59,100756.0,2051261.26,214.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-07,19.94,20.22,19.94,20.18,0.2,1.0,148746.0,2989620.64,235.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-06,19.7,20.3,19.62,19.98,0.2,1.01,185483.0,3712899.76,315.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-05,19.8,19.98,19.42,19.78,0.22,1.12,118624.0,2337486.18,204.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-02,19.82,19.9,19.5,19.56,0.12,0.62,133518.0,2625301.4,240.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-04-01,19.18,19.6,19.0,19.44,0.2,1.04,111945.0,2166683.32,202.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-31,19.0,19.36,19.0,19.24,0.26,1.37,135848.0,2602741.28,250.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-30,19.02,19.08,18.84,18.98,-0.2,-1.04,71260.0,1352575.8,145.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-29,19.0,19.2,18.82,19.18,-0.04,-0.21,61599.0,1176454.32,121.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-26,19.36,19.36,19.0,19.22,0.28,1.48,37826.0,723058.34,105.0
1210,Basic Chemical Industries Co.,BCI,Materials,2020-03-25,18.82,19.9,18.82,18.94,0.14,0.74,259845.0,4997037.12,322.0
